Category,Brand,Tier,TTS Evidence,HQ Location,Company Size,Business Model,Fit Score,Fit Why,KDM Name,KDM Title,KDM LinkedIn,KDM Confidence,Secondary Contact,Marketing Org Notes,Source URLs
Phones & Electronics,EMEET,WINNABLE,"TTS storefront and hero SKU (EMEET C60E 4K webcam, shop.tiktok.com/us/pdp/webcam-emeet-c60e-4k...); 'viral tiktok camera' discovery pages and creator/streamer review content promoting affordable webcams/speakerphones.","Kowloon, Hong Kong / Shenzhen (US-market via emeet.com, Amazon, B&H, TTS US)",Small-mid (founded 2016 by Wyman Chen & Hao Liu),"Marketplace / DTC (webcams, speakerphones, headsets)",4,Streaming/creator-tool brand whose buyers ARE content creators; product is demo-driven and benefits directly from high-velocity 'my streaming setup' UGC.,,US Marketing / Brand lead,,LOW,,"Lean team; no US head-of-marketing verified in public search — role inferred, individual unconfirmed. No holding-co agency-of-record found; sells creator-facing hardware, a natural creator-content platform fit.",https://shop.tiktok.com/us/pdp/webcam-emeet-c60e-4k-ultra-hd-streaming-camera-with-privacy-cover/1729441434150735923 https://emeet.com/collections/webcam https://shop.tiktok.com/us/k/viral-tiktok-camera https://www.linkedin.com/company/shenzhen-emeet-technology-co.-ltd.
Home Supplies,Laundry Sauce,WINNABLE,"Official @laundrysauce TikTok; scaled TikTok Shop to six figures via heavy sample seeding; runs 'Sauciety' ambassador program + affiliate program (creators@/affiliates@laundrysauce.com); products live on TTS PDPs. Sources: laundrysauce.com/pages/tiktok, tiktok.com/@laundrysauce","Scottsdale / Carefree, Arizona",8-figure revenue (hit ~$10M in first 18 months); very lean headcount — founder scaled 'without employees' using agencies,DTC + retail hybrid (own site subscription; launched in ~300 Target stores),5,Premium fragrance/design-led detergent that lives entirely on repeat scent-reveal and unboxing creator demos — burns through content weekly.,Ian Blair,Founder & CEO,https://www.linkedin.com/in/ianblair44,HIGH,"Austin Blair, Co-Founder — https://www.linkedin.com/in/austin-blair-057117137/","Deliberately lean in-house team; AOR = Raindrop Agency (won AOR 2022, holds minor equity, runs Meta/YouTube/TV creative). Creator/affiliate ops run in-house via creators@laundrysauce.com. Strong candidate for AI content tooling to fuel high-volume creative testing.",https://www.linkedin.com/in/ianblair44 https://laundrysauce.com/pages/tiktok https://www.tiktok.com/@laundrysauce https://raindrop.agency/case-study/laundry-sauce/ https://medium.com/authority-magazine/ian-blair-of-laundry-sauce-five-things-you-need-to-create-a-highly-successful-startup-22d71b1236cc
Home Supplies,Truly Free (Truly Free Home),WINNABLE,"Non-toxic laundry/cleaning brand with heavy CleanTok creator-review presence and TikTok Shop product listings (e.g. @karlyalane_, @brookevestrand review videos); building own 'Truly Free Market' creator revenue-share marketplace. Sources: tiktok.com discover/truly-free-cleaning-products-review, trulyfreehome.com",Michigan (Portage / Kalamazoo area),$100M+ cumulative revenue; Inc. 5000 2025 (#1410); founded 2015,DTC refill-subscription + own marketplace,4,Refill-subscription non-toxic cleaning depends on constant testimonial/CleanTok creator content to acquire and retain subscribers.,Stephen Ezell,Founder & CEO,https://www.linkedin.com/in/stephenjezell/,HIGH,,"Founder-led; no stated agency-of-record. Actively building a decentralized, revenue-sharing creator marketplace ('Truly Free Market') — signals strong appetite for creator-commerce tooling. Secondary marketing owner not verified.",https://www.linkedin.com/in/stephenjezell/ https://trulyfreehome.com/pages/about-us https://trulyfreehome.com/blog/truly-free-home-founder-named-a-winner-of-the-entrepreneur-of-the-year-2025-michigan-and-northwest-ohio-award https://www.adammendler.com/blog/stephen-ezell/
Home Supplies,Blueland,WINNABLE,"Official @blueland TikTok; TikTok Shop listings for dishwasher/toilet/cleaning tablets; scaled 'creator-earns-commission' affiliate program (partners incl. Lucie Fink). Nov 2025 BBB National Advertising Division reviewed Blueland's TikTok Shop influencer program after a P&G challenge — direct evidence of a large active affiliate operation. Sources: globenewswire NAD release, tiktok.com/@blueland","New York, NY",Certified B-Corp; VC-backed (BBG Ventures et al.); est. ~50-100 employees,"DTC + retail hybrid (own site subscription; Target, Costco)",4,Tablet/refill format needs constant demo + education content; leans on affiliate creators to drive TTS conversion.,Sarah Paiji Yoo,Co-Founder & CEO (personally owns marketing/PR/brand strategy),https://www.linkedin.com/in/sarahpaiji,HIGH,"John A. Mascari, Co-Founder & President/COO — https://www.linkedin.com/in/john-a-mascari-a31a061a/","Per multiple profiles, CEO Paiji Yoo directly leads marketing/PR while Mascari runs ops. In-house social/affiliate team. Actively defends and scales its TikTok Shop creator program (NAD case). No named CMO — CEO is the budget owner.",https://www.linkedin.com/in/sarahpaiji https://www.linkedin.com/in/john-a-mascari-a31a061a/ https://www.globenewswire.com/news-release/2025/11/25/3194612/0/en/National-Advertising-Division-Finds-Certain-Blueland-TikTok-Shop-Influencer-Disclosures-Appropriate-Blueland-Voluntarily-Modifies-or-Discontinues-Others.html https://en.wikipedia.org/wiki/Sarah_Paiji_Yoo
Home Supplies,Sheets Laundry Club,WINNABLE,"Active @sheetslaundryclub TikTok posting founder/Shark-Tank and CleanTok content; laundry detergent sheets + home cleaning line sold via TTS/DTC. Sources: tiktok.com/@sheetslaundryclub, sheetslaundryclub.com","Charlotte, North Carolina",Mid-market private; founded Dec 2019; veteran-owned; landed a Shark Tank deal,DTC subscription + retail,4,Eco laundry-sheet subscription differentiates almost entirely through founder-story and CleanTok creator content.,Chris Videau,CEO & Co-Founder,https://www.linkedin.com/in/chris-videau-a9180389/,HIGH,"Laurian Videau, Co-Founder (individual LinkedIn URL not verified)","Founder-led, veteran-owned; strong owned TikTok channel doubling as the brand's primary content engine. Co-founder is Chris's wife Laurian; her exact profile URL not confirmed so left blank. (Note: some sources cite Chris Campbell as the other operating co-founder.) No stated AOR.",https://www.linkedin.com/in/chris-videau-a9180389/ https://sheetslaundryclub.com/our-story https://www.tiktok.com/@sheetslaundryclub/video/7285499409859661098 https://www.trustbgw.com/resources/chris-videau-sheets-laundry-club
Home Supplies,Scrub Daddy,FLAGSHIP,"Category-defining CleanTok brand; @scrubdaddy ~4.2M TikTok followers; active TikTok Shop storefront; team publicly discusses TTS collabs (Ad Age). Sources: tiktok.com/@scrubdaddy, adage.com","Pennsauken / Cherry Hill, New Jersey (Philadelphia metro)",$200M+ annual revenue; hundreds of employees,Retail-first + DTC + TTS,4,Built the brand on entertainment-led social and sustains an enormous content/creator-collab cadence.,Davis Miller,Social Media Manager,https://www.linkedin.com/in/davis-miller-5323321a2/,MED,"Kerrie Longo, Social Media Manager (named in Ad Age; individual LinkedIn URL not verified)",Famous in-house social team (Kerrie Longo + Davis Miller) runs TikTok/TTS collabs; Founder/CEO Aaron Krause. Ultimate social/creator budget likely sits with a marketing director above the social managers (unconfirmed) — hence MED. Flagship with mature in-house muscle; market-map value more than easy win.,https://www.linkedin.com/in/davis-miller-5323321a2/ https://adage.com/article/podcast-marketers-brief/scrub-daddys-social-team-discusses-tiktok-collabs/2571126/ https://www.tiktok.com/@scrubdaddy
Home Supplies,The Pink Stuff (Stardrops),FLAGSHIP,"Viral 'miracle' cleaning paste; official US TikTok Shop PDPs (shop.tiktok.com/us/pdp/...stardrops-the-pink-stuff...) and @cleanwithpinkstuff; ~$125M/yr driven largely by TikTok/IG virality. Sources: shop.tiktok.com, entrepreneur.com",UK (Star Brands / Stardrops); US-market-primary via US distributor acquired 2023,~$125M annual revenue; acquired April 2025 by RPM International (Rust-Oleum subsidiary) for ~£345M + earnout,Retail + marketplace + TTS,3,"Demand is largely organic/earned virality; still seeds creators but far less content-dependent, and now owned by a large corporate parent.",,,,LOW,,"Now a Rust-Oleum/RPM International brand — corporate marketing structure, likely locked agency relationships, harder to reach and lower creator-tooling need. Marketing decision-maker role exists but individual unconfirmed; deliberately left blank rather than guessed.",https://legalclarity.org/who-owns-the-pink-stuff-after-rpms-acquisition/ https://www.entrepreneur.com/business-news/how-tiktok-turned-the-pink-stuff-into-cleaning-product-gold/469604 https://shop.tiktok.com/us/pdp/cleaning-paste-stardrops-the-pink-stuff-miracle-for-tough-stains/1730871792313668516
Home Supplies,Homeika,WINNABLE,"Homeika Cordless Vacuum reported $25M+ US TikTok Shop GMV — one of the platform's top home products; active TTS storefront + PDPs (tiktok.com/shop/pdp/...homeika...). Sources: shop.tiktok.com/us/k/homeika-vacuum, accio TTS category recap","Homeika USA — McKinney, Texas (US arm); brand/trademark owned by Zhuhai XueChuang Cross-border E-commerce Co., Ltd. (China)","Mid; private cross-border seller, headcount undisclosed",Cross-border marketplace/DTC (Amazon + TikTok Shop),5,A near-pure creator-commerce play — GMV built almost entirely on affiliate demo content and TTS; no legacy retail brand equity.,,,,LOW,,"Trademark owner Zhuhai XueChuang Cross-border E-commerce Co.; US entity Homeika USA (McKinney, TX per BBB). US marketing/creator lead likely offshore — role exists, individual unconfirmed (blank, not guessed). No apparent in-house US creator team = strong white-label / agency + AI-content target.",https://trademarks.justia.com/881/04/homeika-88104494.html https://www.bbb.org/us/tx/mckinney/profile/vacuum-cleaners/homeika-usa-0875-91343837 https://www.tiktok.com/shop/pdp/cordless-vacuum-cleaner-by-homeika-300w-23kpa-lightweight-with-led-display/1729406192892088964 https://www.accio.com/business/tiktok-shop-us-top-selling-categories-2025
Home Supplies,Clean People,WINNABLE,"Eco laundry detergent sheets with active TikTok Shop listings and steady CleanTok/#tiktokshop creator-review volume (e.g. @beautyfeastvibes, @the_daily_diy, @chickenboxfox). Sources: shop.tiktok.com/us/k/clean-people-laundry-sheets-reviews, tiktok.com/product/clean-people-laundry-sheets","United States (exact city unverified); 'American owned, made in USA/Canada'",Small/mid private; details not disclosed,DTC + marketplace (Amazon/TTS) + retail,4,Commodity eco laundry sheets differentiate almost solely through creator reviews/demos on CleanTok.,,,,LOW,,"Genuine TTS-native affiliate presence but no verifiable founder/marketing lead surfaced in search — honest blank rather than a guess. Marketing role exists, individual unconfirmed; would need direct outreach or LinkedIn company-page scan to identify KDM.",https://shop.tiktok.com/us/k/clean-people-laundry-sheets-reviews https://www.tiktok.com/product/clean-people-laundry-sheets https://www.tiktok.com/@beautyfeastvibes/video/7433270312663338283
Food & Beverages,Nello (Drink Nello / Supercalm),WINNABLE,@drinknello TikTok Shop store; Supercalm KSM-66 Ashwagandha drink mix is a top-selling functional-beverage SKU. Case studies cite ~$25.65M-$28M cumulative TTS GMV. Shop PDP: shop.tiktok.com/us/k/nello-supercalm-calming-drink-mix,Utah (Lehi/SLC area),"Small startup, est. ~20-50 employees; ~$25-28M TTS GMV cumulative","DTC + marketplace (drinknello.com, TikTok Shop, Amazon)",5,Single-SKU functional drink whose entire growth engine is affiliate creators + flavor-drop content; burns through creator video weekly.,Connor Noe,Co-founder & CMO,https://www.linkedin.com/in/connorbnoe,HIGH,"Mason Porter, Co-founder & COO; Renee Noe (star influencer/content, https://www.linkedin.com/in/renee-noe-8390b02ba/)","Founder-led marketing (Connor = CMO). Connor Noe LinkedIn (connorbnoe) independently confirmed as Co-founder of Nello. Renee Noe LinkedIn (renee-noe-8390b02ba) confirmed as 'Noe Bad Vibes' influencer. Uses external TTS agencies: Uptickk names Nello as a client, and Brands Meet Creators (BMC) cited helping Nello ($140K GMV in March).","https://drinknello.com/, https://www.tramicheck.com/newsletter/drink-nellos-playbook-for-success-a-tiktok-shop-case-study, https://www.linkedin.com/in/connorbnoe, https://uptickk.com/"
Food & Beverages,Brainista (Yerba Magic),WINNABLE,Yerba Magic instant yerba mate powder cited as #1 yerba mate on TikTok Shop & Amazon; ~$3.75M revenue in March 2025 (Brands Factory monitor). TTS PDP: tiktok.com/product/brainista-yerba-mate,US (specific city unconfirmed),"Small startup (early-stage, est. <50 employees)","DTC + marketplace (mybrainista.com, TikTok Shop, Amazon)",5,"Functional nootropic drink powder, pure creator-commerce play with rapid flavor/SKU launches and heavy affiliate demos.",Colin Fiala,Founder & CEO,,MED,,Founder Colin Fiala confirmed as Founder/CEO of Brainista/Yerba Magic across multiple press releases (also runs @brainista.ceo). Individual LinkedIn profile not verified in search (URL unverified). No agency-of-record found.,"https://mybrainista.com/, https://usanews.com/newsroom/brainista-continues-to-innovate-nootropic-drink-options, https://www.instagram.com/brainista.ceo/, https://chinesellers.substack.com/p/tiktok-marketplace-monitormarch-2025"
Food & Beverages,EZ Bombs,WINNABLE,Birria/Tinga/Pozole seasoning 'bombs'; became #1 food product on TikTok Shop in 2024. TTS PDP: shop.tiktok.com/view/product/1729444047203963674. Agital case study: 3x to 30x ROAS in first 90 days on TTS.,"Victorville, CA",Small family business (founded 2022; startup scale),"Hybrid: DTC (ezbombs.com) + TikTok Shop + retail (Walmart ~nationwide, Amazon)",5,Recipe/cook-along demo product tailor-made for live shopping + affiliate video; content velocity is the whole funnel.,Tina Castaneda,Founder,,MED,"Brandon Castaneda, Co-founder & CEO (son)","Founder Tina Castaneda (family-run, cancer survivor) confirmed as founder/face in press. Note: son Brandon Castaneda is listed as Co-founder & CEO on LinkedIn. Founder's individual LinkedIn not verified/added (URL unverified). Agency-of-record: Agital (managed ads/email/SMS/live/affiliate; sister co EK Creative / Go Fish Digital).","https://ezbombs.com/, https://www.vvng.com/ez-bombs-goes-nationwide-with-walmart-launch-bringing-bold-latin-flavor-from-kitchen-startup-to-viral-sensation/, https://agital.com/results/case-studies/ez-bombs/, https://www.shipbob.com/blog/ez-bombs/"
Food & Beverages,Behave Candy,WINNABLE,"Low-sugar gummies; 'Super Sour Skulls' sold out in 3 days on TikTok Shop (spring 2025), driving a ~2,000-door Target launch (April 2026). TTS/virality documented by Modern Retail. Tag: #behavebrand","New York, NY","Small startup (~10-25 employees); seed-funded (Busy Philipps, Norman Powell investors)",Hybrid: DTC (eatbehave.com) + TikTok Shop + retail (Target),5,"'Bet everything on TikTok Shop' to escape bankruptcy; extreme-flavor candy is reaction-content native, fully creator-dependent.",Mayssa Chehata,Founder & CEO,https://www.linkedin.com/in/mayssa-chehata-86b21140,HIGH,"Emily Gu, Co-founder",Founder-led; female-owned (100% women leadership/R&D). Mayssa Chehata LinkedIn (mayssa-chehata-86b21140) independently confirmed as Founder & CEO of BEHAVE Candy. Founders Chehata & Gu ran TTS + affiliate strategy in-house. No named agency-of-record found.,"https://www.modernretail.co/operations/candy-brand-behave-bet-everything-on-tiktok-shop-went-viral-and-secured-a-target-launch/, https://www.linkedin.com/in/mayssa-chehata-86b21140, https://www.eatbehave.com/pages/about, https://www.femalestartupclub.com/blogs/podcasts/mayssa-chehata-behave-candy"
Food & Beverages,Built Bar (Built Brands),WINNABLE,"Official Built Bar TikTok Shop store: ~$20.4M cumulative GMV on ~700k units, ~18.8k affiliates (mostly 10k-50k-follower creators), per FastMoss protein-bar playbook. Live shopping ~30% of sales.","American Fork, Utah",Mid-market manufacturer (est. 100s of employees; owns production),Hybrid: DTC (builtbar.com) + TikTok Shop + retail + Amazon,5,Runs one of the largest food affiliate armies on TTS (~18.8k creators) + heavy live shopping — insatiable demand for creator content at scale.,,Head of Social/Creator (owner of affiliate budget) — unconfirmed,,LOW,"Jeff Newman, Executive VP, Built Bar (https://www.linkedin.com/in/jnewman12)",Large in-house affiliate operation. Jeff Newman LinkedIn (jnewman12) independently confirmed as EVP at Built Bar/Built Brands (former CMO) but not specifically the social/creator owner. Specific Head of Social/Influencer not identified in search — role clearly exists (18.8k affiliates managed) but individual unconfirmed.,"https://www.fastmoss.com/blog/the-tiktok-shop-protein-bar-playbook-why-built-bar-is-winning/, https://www.linkedin.com/in/jnewman12, https://www.linkedin.com/company/built-brands"
Food & Beverages,BonBon (A Swedish Candy Co.),WINNABLE,"@bonbonnyc runs a TikTok Shop with an exclusive 'TikTok Mix' SKU; #BonBon hashtag searched 3.1B+ times; a viral creator video drove ~1,000 online orders overnight (vs ~20/day). TTS product page: tiktok.com/product/bonbon-swedish-candy","New York, NY (Lower East Side / Brooklyn)",Small (founded 2017; ~4 retail locations + ecommerce),Hybrid: retail stores + DTC (bonbonnyc.com) + TikTok Shop,4,"Swedish-gummy craze is highly creator-driven (pick-and-mix ASMR/haul content), but virality is partly organic/location-led vs pure paid affiliate.",Leo Schaltz,Co-founder,,MED,"Selim Adira, Co-founder & CEO; Robert Persson, Co-founder","Three co-founders (Leo/Leonard Schaltz, Selim Adira, Robert Persson) confirmed via NBC/Nina Roberts/Fast Company press; Swedish immigrants, founded 2017/2018. Selim Adira appears to be CEO (ZoomInfo). LinkedIn URLs not verified in search (URL unverified). No agency-of-record identified.","https://bonbonnyc.com/pages/about, https://www.nbcnews.com/news/us-news/swedish-gummies-craze-taking-candy-world-rcna178121, https://mail.creatoreconomynyc.com/p/bon-bon-local-gone-viral, https://www.tiktok.com/@bonbonnyc"
Food & Beverages,MaryRuth's (MaryRuth Organics),FLAGSHIP,"Liquid Morning Multivitamin + Hair Growth: ~$29M+ TTS GMV, 369k+ bottles sold; ran a TikTok Shop 'Super Brand Day' (PRNewswire, Dec 2024); official TikTok For Business case study (246%+ GMV uplift from Top Feed).","Los Angeles, CA","Mid-large; est. 200+ employees, $100M+ revenue band","Hybrid: DTC + marketplace (TikTok Shop, Amazon) + retail",4,"Creator-first storytelling brand ('feels like a recommendation, not an ad') running always-on affiliate + Top Feed; high but professionalized content demand.",,"Senior Director, Influencers & Socials",,LOW,"Elizabeth Althoff, Influencer Marketing Manager (https://www.linkedin.com/in/elizabeth-althoff/); Catalina Leyva, Director of Retention & Social Commerce","Dedicated in-house influencer/social org (Sr Director + Manager + Social Commerce Director). 'Molly Savage' could NOT be confirmed in this role — role exists, individual unconfirmed (URL unverified). Company sources (The Org, MaryRuth's own TikTok 'Meet our Influencer Marketing Director, Kristen') indicate the Senior Director of Influencers & Socials is Kristen Althoff, not Molly Savage. Elizabeth Althoff LinkedIn (elizabeth-althoff) independently confirmed as Influencer Marketing Manager at MaryRuth's.","https://www.prnewswire.com/news-releases/maryruths-celebrates-tiktok-shop-super-brand-day-with-exclusive-offers-and-viral-favorites-302339675.html, https://ads.tiktok.com/business/en-US/inspiration/maryruth-reach-and-frequency-tiktok-shop, https://www.linkedin.com/in/elizabeth-althoff/, https://theorg.com/org/maryruths/org-chart/kristen-althoff"
Food & Beverages,David Protein,FLAGSHIP,@davidprotein TikTok Shop store; ~50k+ products sold and ~60M platform impressions within ~9 months of launch; new employees host livestreams. Co-founder TTS playbook covered by Rachel Karten (Milk Karten).,"New York, NY",Well-funded scale-up ($75M+ raised); est. 50-150 employees,Hybrid: DTC (davidprotein.com) + TikTok Shop + Amazon + retail,4,Founder/PR-led virality plus livestream + affiliate; strong content machine but less single-channel-dependent than smaller peers.,Zach Ranen,Co-founder (brand/marketing),,MED,"Peter Rahal, Co-founder (also founder of RXBAR)",Founder-led TTS strategy. Zach Ranen and Peter Rahal both confirmed as co-founders of David via Forbes/PRNewswire/Wikipedia. Launch branding by agency Day Job. Dedicated head-of-growth/social not confirmed; individual LinkedIn URLs not verified in search (URL unverified).,"https://www.milkkarten.net/p/david-proteins-tiktok-shop-playbook, https://www.tiktok.com/@davidprotein, https://www.shopify.com/news/protein-trend, https://avenuez.com/blog/what-we-can-learn-from-david-proteins-virality/"
Menswear & Underwear,True Classic,FLAGSHIP,"Active TikTok Shop storefront (shop.tiktok.com/us/k/true-classic-tees) + @trueclassic; large affiliate program, products pushed under #tiktokshopcreatorpicks / #fanfavoritedeals 4-pack tees; category-leading DTC menswear basics.","Los Angeles, CA",~160-164 employees; ~$200M+ revenue (hit $207M in 2023),"DTC-primary, expanding to wholesale/retail (hybrid DTC)",5,Basics brand that lives on high-volume creator affiliate video and weekly promo drops; creator-commerce is a core channel.,Ben Yahalom (Ben Diamond),CEO,https://www.linkedin.com/in/benyahalom,HIGH,"Emily Troyer Schwartz, Brand Partnerships, https://www.linkedin.com/in/emilytroyer/","CEO Ben Yahalom (took over CEO summer 2024, prior president) verified via LinkedIn /in/benyahalom - HIGH. Large in-house marketing org; posted a CMO search (WayUp). Secondary contact Emily Troyer (URL verified real) appears to have MOVED to a Brand Activations Manager role at Vitamin Well Group per LinkedIn - treat True Classic role as likely stale; confirm before use. No single verified Head of Creator/Social found.",https://www.linkedin.com/in/benyahalom https://www.glossy.co/podcasts/true-classic-ceo-ben-yahalom-diversification-is-key-to-marketing-success/ https://shop.tiktok.com/us/k/true-classic-tees https://www.linkedin.com/in/emilytroyer/
Menswear & Underwear,TBô (TBô Bodywear),WINNABLE,TikTok Shop presence (shop.tiktok.com/us/k/tbo-underwear) + @tbobodywear; 'community-led' D2C model with a 400k+ 'Tribe'; bamboo men's underwear sold via TTS and Amazon.,Switzerland-founded (Geneva/Zurich); US-market-primary via US TikTok Shop/Amazon,"Small (est. <50 employees); privately held, community-led D2C","DTC (direct-by-consumer / co-creation), + TTS + Amazon",5,Entire model is community/creator co-creation content; burns through UGC and creator video constantly to feed its Tribe.,Roy Bernheim,Co-Founder (CEO title unconfirmed),,LOW,"Allan Perrottet, Co-Founder (COO/product)",Roy Bernheim confirmed across multiple sources as co-founder of TBô (with Allan Perrottet); sources do not confirm a 'CEO' title specifically. No personal LinkedIn URL found (URL unverified). Marketing is community-driven vs. traditional AOR.,https://tbo.clothing/us/about/ https://stickybranding.com/success-stories/ https://www.mayple.com/case-studies/tbo-underwear https://shop.tiktok.com/us/k/tbo-underwear https://www.instagram.com/tbobodywear/
Menswear & Underwear,Shinesty,WINNABLE,"Active TTS storefront (shop.tiktok.com/us/k/shinesty-underwear) + Ball Hammock pouch PDP on TTS (id 1729599237749379687); 263k+ TikTok followers, ~3.6M likes; built community around men's novelty pouch underwear on TikTok.","Denver/Boulder, CO",Est. ~50-100 employees; privately held DTC,DTC (own site) + Amazon + TTS,4,Humor/novelty underwear that depends on constant viral short-form content and creator UGC to stay top-of-feed.,Jens Nicolaysen,Co-Founder & CMO,https://www.linkedin.com/in/jensnicolaysen,HIGH,"Molly Wallace Kerrigan, VP of Marketing, https://www.linkedin.com/in/molly-wallace-kerrigan-58296a71/",CMO/co-founder Jens Nicolaysen verified via LinkedIn /in/jensnicolaysen (role confirmed on The Org/Crunchbase) - HIGH. VP Marketing Molly Wallace Kerrigan (VP of Marketing & Ecommerce; ex-MeUndies retention) verified via LinkedIn /in/molly-wallace-kerrigan-58296a71. In-house creative-heavy team; strong owned-content + retention muscle.,https://www.linkedin.com/in/jensnicolaysen https://www.linkedin.com/in/molly-wallace-kerrigan-58296a71/ https://theorg.com/org/shinesty/org-chart/jens-nicolaysen https://shop.tiktok.com/us/k/shinesty-underwear
Menswear & Underwear,SHEATH Underwear,WINNABLE,"Brand-run @sheathunderwear TikTok posting dual-pouch product videos + TTS PDP (SHEATH 2.1 Bamboo Dual Pouch, id 1729404869952639902) and storefront shop.tiktok.com/us/k/sheath-underwear; heavy creator review velocity (@worthabuck, @denofdeals).","Woodland Park, CO",Small (est. 25-100 employees); veteran-founded DTC,DTC (own site) + TTS,4,Single-hero-product (dual pouch) brand reliant on repeated creator demo/review content to drive conversion.,Raul Rodriguez,Chief Marketing Officer,,LOW,"Robert Patton, Founder/CEO, https://www.linkedin.com/in/robert-patton-b675273b/","Raul Rodriguez appears as CMO ONLY on data-broker aggregators (ZoomInfo, RocketReach) - no LinkedIn profile or first-party source found, so role-currency cannot be verified (URL unverified); treat as unconfirmed. Founder/CEO Robert Patton (US Army veteran, founded 2013) verified via LinkedIn /in/robert-patton-b675273b - reliable primary contact; small team so founder likely still owns brand/creator decisions.",https://www.zoominfo.com/p/Raul-Rodriguez/13478754534 https://rocketreach.co/sheath-sheath-underwear-management_b45b4e4cfc59d0bd https://www.linkedin.com/in/robert-patton-b675273b/ https://www.tiktok.com/@sheathunderwear/video/7450152044213718318
Menswear & Underwear,State and Liberty,WINNABLE,TTS storefront (shop.tiktok.com/us/k/state-and-liberty-clothing) + TTS PDPs (sport shirt / tee); very high volume of creator review content on athletic-fit dress shirts/suits (#stateandliberty).,"Ann Arbor, MI","Est. ~50-100 employees; privately held, growing DTC + retail",DTC + own retail stores (hybrid),4,Fit-demo product (athletic build) that converts on before/after and try-on creator video; content-hungry for niche body-type audience.,,"Head of Marketing (role exists, individual unconfirmed)",,LOW,"Dan Soleau, Manager, State and Liberty, https://www.linkedin.com/in/dan-soleau/","Marketing leader not verifiable from search - role exists (careers page lists E-Commerce Growth Manager, Email/Graphic Design Manager, Director of Marketing-type roles). Dan Soleau LinkedIn /in/dan-soleau verified (listed as 'Manager' at State and Liberty, Ann Arbor) - exact function not confirmed, do not assume marketing ownership. Recommend LinkedIn confirmation before outreach.",https://stateandliberty.com/pages/career https://www.linkedin.com/in/dan-soleau/ https://shop.tiktok.com/us/k/state-and-liberty-clothing https://growjo.com/company/State_and_Liberty_Clothing_Co.
Menswear & Underwear,Fresh Clean Threads,WINNABLE,"Brand-run @freshcleanthreads TikTok + TTS product listing (crew tee, id 1729671804079674060); rebranded from Fresh Clean Tees, actively posts menswear tee content; frequent True Classic head-to-head creator comparisons.",United States (San Diego / Southern California),Mid-market DTC; privately held (founded 2015),DTC (own site) + TTS + Amazon,4,Commodity men's tee competing head-to-head with True Classic - needs constant fit/value creator content to win the comparison.,Brendan Roeschel,Chief Marketing Officer,https://www.linkedin.com/in/brendan-roeschel-059093b5,HIGH,"Matthew Parvis, Co-Founder & CEO, https://www.linkedin.com/in/matthew-parvis-18045b4a/","Brendan Roeschel CMO verified via LinkedIn /in/brendan-roeschel-059093b5 with matching title, corroborated by event-org LinkedIn post (join-grow) and SignalHire - upgraded to HIGH. Founders Matthew & Melissa Parvis (Matthew = Co-Founder/CEO, LinkedIn /in/matthew-parvis-18045b4a verified; Melissa = Co-Founder/President). Team actively hiring in marketing per Matthew Parvis LinkedIn post.",https://www.linkedin.com/in/brendan-roeschel-059093b5 https://www.linkedin.com/in/matthew-parvis-18045b4a/ https://www.tiktok.com/@freshcleanthreads https://www.tiktok.com/view/product/1729671804079674060
Menswear & Underwear,PSD Underwear,WINNABLE,"@psdunderwear ~4M TikTok followers, ~69M likes; TTS storefront (shop.tiktok.com/us/k/psd-underwear); runs TTS promos/mystery-box bundles; athlete-backed (Ja Morant, Jimmy Butler, Tyler Herro) with strong creator-commerce motion.","Irvine, CA",~60+ employees; ~$8-12.5M revenue,Hybrid - DTC + wholesale/retail + licensing (NBA/eGaming),4,Bold-print athlete/streetwear underwear that leans on athlete + creator content and drop culture to move SKUs.,Ryan Flaitz,Co-Founder & Director of Art,,LOW,"Curt Flaitz, Co-Founder, President & Marketing Director","Brothers Curt & Ryan Flaitz confirmed as co-founders (Forbes). Note: Ryan is Co-Founder & Director of Art; his brother CURT is Co-Founder, President & Marketing Director - Curt is the more likely marketing decision-maker. A public LinkedIn for Ryan Flaitz exists but was not in the research and is not the marketing lead - no verified marketing-owner URL, so URL unverified. Licensing/athlete partnerships suggest a partnerships lead exists - confirm before outreach.",https://www.forbes.com/sites/allysonportee/2022/10/17/the-brothers-behind-psd-underwear-ryan-and-curt-flaitz-open-up-about-the-brand-thats-just-as-much-about-community-as-it-is-about-their-products/ https://growjo.com/company/PSD_Underwear https://www.tiktok.com/@psdunderwear https://shop.tiktok.com/us/k/psd-underwear
